# T [GeV]  P/T^4
4.59887350e-01  3.91494955e+00
4.60628357e-01  3.91755627e+00
4.61369403e-01  3.92015258e+00
4.62110487e-01  3.92273856e+00
4.62851610e-01  3.92531420e+00
4.63592771e-01  3.92787959e+00
4.64333969e-01  3.93043480e+00
4.65075205e-01  3.93297987e+00
4.65816478e-01  3.93551485e+00
4.66557788e-01  3.93803979e+00
4.67299134e-01  3.94055480e+00
4.68040517e-01  3.94305985e+00
4.68781936e-01  3.94555503e+00
4.69523391e-01  3.94804037e+00
4.70264881e-01  3.95051598e+00
4.71006407e-01  3.95298186e+00
4.71747968e-01  3.95543806e+00
4.72489563e-01  3.95788469e+00
4.73231194e-01  3.96032170e+00
4.73972858e-01  3.96274925e+00
4.74714557e-01  3.96516731e+00
4.75456289e-01  3.96757599e+00
4.76198056e-01  3.96997527e+00
4.76939855e-01  3.97236527e+00
4.77681688e-01  3.97474599e+00
4.78423554e-01  3.97711749e+00
4.79165452e-01  3.97947984e+00
4.79907383e-01  3.98183307e+00
4.80649346e-01  3.98417723e+00
4.81391341e-01  3.98651237e+00
4.82133368e-01  3.98883854e+00
4.82875426e-01  3.99115577e+00
4.83617516e-01  3.99346412e+00
4.84359637e-01  3.99576364e+00
4.85101789e-01  3.99805438e+00
4.85843972e-01  4.00033634e+00
4.86586185e-01  4.00260965e+00
4.87328429e-01  4.00487426e+00
4.88070702e-01  4.00713030e+00
4.88813006e-01  4.00937776e+00
4.89555339e-01  4.01161671e+00
4.90297702e-01  4.01384717e+00
4.91040094e-01  4.01606921e+00
4.91782515e-01  4.01828287e+00
4.92524965e-01  4.02048819e+00
4.93267444e-01  4.02268518e+00
4.94009951e-01  4.02487395e+00
4.94752487e-01  4.02705447e+00
4.95495051e-01  4.02922682e+00
4.96237642e-01  4.03139107e+00
4.96980262e-01  4.03354720e+00
4.97722909e-01  4.03569529e+00
4.98465584e-01  4.03783536e+00
4.99208285e-01  4.03996751e+00
4.99951014e-01  4.04209169e+00
5.00693770e-01  4.04420798e+00
5.01436553e-01  4.04631643e+00
5.02179362e-01  4.04841708e+00
5.02922197e-01  4.05050999e+00
5.03665058e-01  4.05259517e+00
5.04407946e-01  4.05467263e+00
5.05150859e-01  4.05674247e+00
5.05893799e-01  4.05880466e+00
5.06636763e-01  4.06085933e+00
5.07379753e-01  4.06290645e+00
5.08122768e-01  4.06494607e+00
5.08865809e-01  4.06697821e+00
5.09608874e-01  4.06900296e+00
5.10351963e-01  4.07102036e+00
5.11095078e-01  4.07303035e+00
5.11838217e-01  4.07503305e+00
5.12581380e-01  4.07702849e+00
5.13324567e-01  4.07901671e+00
5.14067778e-01  4.08099771e+00
5.14811013e-01  4.08297155e+00
5.15554271e-01  4.08493828e+00
5.16297553e-01  4.08689791e+00
5.17040858e-01  4.08885049e+00
5.17784187e-01  4.09079602e+00
5.18527539e-01  4.09273458e+00
5.19270913e-01  4.09466621e+00
5.20014310e-01  4.09659091e+00
5.20757730e-01  4.09850872e+00
5.21501173e-01  4.10041966e+00
5.22244637e-01  4.10232384e+00
5.22988125e-01  4.10422118e+00
5.23731634e-01  4.10611180e+00
5.24475165e-01  4.10799571e+00
5.25218717e-01  4.10987296e+00
5.25962292e-01  4.11174352e+00
5.26705888e-01  4.11360748e+00
5.27449506e-01  4.11546485e+00
5.28193144e-01  4.11731570e+00
5.28936804e-01  4.11916000e+00
5.29680485e-01  4.12099782e+00
5.30424187e-01  4.12282919e+00
5.31167910e-01  4.12465412e+00
5.31911653e-01  4.12647268e+00
5.32655417e-01  4.12828487e+00
5.33399202e-01  4.13009070e+00
5.34143006e-01  4.13189028e+00
5.34886831e-01  4.13368356e+00
5.35630676e-01  4.13547060e+00
5.36374540e-01  4.13725146e+00
5.37118425e-01  4.13902611e+00
5.37862329e-01  4.14079463e+00
5.38606253e-01  4.14255702e+00
5.39350196e-01  4.14431333e+00
5.40094159e-01  4.14606356e+00
5.40838141e-01  4.14780777e+00
5.41582142e-01  4.14954598e+00
5.42326162e-01  4.15127822e+00
5.43070201e-01  4.15300451e+00
5.43814259e-01  4.15472488e+00
5.44558335e-01  4.15643938e+00
5.45302430e-01  4.15814801e+00
5.46046543e-01  4.15985082e+00
5.46790675e-01  4.16154780e+00
5.47534825e-01  4.16323902e+00
5.48278994e-01  4.16492446e+00
5.49023180e-01  4.16660421e+00
5.49767384e-01  4.16827828e+00
5.50511606e-01  4.16994666e+00
5.51255846e-01  4.17160939e+00
5.52000104e-01  4.17326650e+00
5.52744379e-01  4.17491804e+00
5.53488671e-01  4.17656403e+00
5.54232981e-01  4.17820447e+00
5.54977308e-01  4.17983941e+00
5.55721652e-01  4.18146886e+00
5.56466014e-01  4.18309283e+00
5.57210392e-01  4.18471140e+00
5.57954787e-01  4.18632456e+00
5.58699199e-01  4.18793233e+00
5.59443628e-01  4.18953474e+00
5.60188073e-01  4.19113182e+00
5.60932535e-01  4.19272359e+00
5.61677013e-01  4.19431009e+00
5.62421507e-01  4.19589135e+00
5.63166018e-01  4.19746734e+00
5.63910544e-01  4.19903817e+00
5.64655087e-01  4.20060378e+00
5.65399646e-01  4.20216423e+00
5.66144221e-01  4.20371954e+00
5.66888811e-01  4.20526976e+00
5.67633417e-01  4.20681488e+00
5.68378039e-01  4.20835493e+00
5.69122676e-01  4.20988995e+00
5.69867329e-01  4.21141993e+00
5.70611997e-01  4.21294494e+00
5.71356681e-01  4.21446494e+00
5.72101379e-01  4.21598003e+00
5.72846093e-01  4.21749017e+00
5.73590822e-01  4.21899540e+00
5.74335565e-01  4.22049579e+00
5.75080324e-01  4.22199128e+00
5.75825097e-01  4.22348195e+00
5.76569885e-01  4.22496780e+00
5.77314688e-01  4.22644884e+00
5.78059505e-01  4.22792513e+00
5.78804337e-01  4.22939665e+00
5.79549183e-01  4.23086345e+00
5.80294044e-01  4.23232554e+00
5.81038918e-01  4.23378296e+00
5.81783807e-01  4.23523571e+00
5.82528710e-01  4.23668381e+00
5.83273628e-01  4.23812725e+00
5.84018559e-01  4.23956612e+00
5.84763504e-01  4.24100041e+00
5.85508462e-01  4.24243017e+00
5.86253435e-01  4.24385534e+00
5.86998421e-01  4.24527601e+00
5.87743421e-01  4.24669217e+00
5.88488434e-01  4.24810387e+00
5.89233461e-01  4.24951110e+00
5.89978501e-01  4.25091389e+00
5.90723555e-01  4.25231225e+00
5.91468622e-01  4.25370620e+00
5.92213702e-01  4.25509579e+00
5.92958795e-01  4.25648102e+00
5.93703901e-01  4.25786190e+00
